"","(Intercept)","Tissuetissue: paired normal adjacent"
"AKNAD1",1.42245353647639e-193,0.336011512001367
"RTL3",9.39783024884624e-122,0.548255745315132
"ATRIP",2.29148787803601e-94,0.0114371779465446
"ZIC5",8.36808414872616e-160,0.200796475938387
"ANGPT1",7.20994848271889e-249,0.992213414206584
"TEDDM1",3.13475579770939e-179,0.730437353596091
"LOC149373",4.6567521146245e-113,0.815165930562989
"GABRG1",1.122400529186e-288,0.999999999999475
"PANX2",4.15073218042318e-117,0.00741456992524765
"ZNF114",3.06189815843106e-51,1.58065350862418e-06
"CCDC27",4.43202428989379e-152,0.105540900017037
"CFAP161",5.06657328817654e-55,0.00265269803355939
"RBMY2FP",4.89389481246954e-175,0.477538986332506
"NEUROD2",4.04415672483056e-157,0.114287096882789
"C5orf17",6.18929505142318e-56,0.451862368332162
"LINC00208",1.18685597506238e-138,0.10745145275745
"DNAH6",1.09223355003743e-94,0.677201109081177
"LRRC15",3.48817376323646e-135,0.0232207231430585
"CFAP46",1.122400529186e-288,0.999999999999475
"B3GNT7",8.96275094217718e-187,0.204073504538191
"CBLL2",2.2374749765902e-274,0.439272575788183
"ZMYM6",5.11582144846142e-57,0.53816726468888
"SGCZ",1.122400529186e-288,0.999999999999475
"LINC02551",4.69068230643256e-113,0.0138508488708558
"WNT9B",5.08724379544187e-234,0.820711366854269
"DNAJB13",9.25532008537114e-155,0.0190482100717877
"CNPY3",3.1723197801377e-93,0.897306393410487
"SCAMP1",1.28619589257957e-39,0.573204400462439
"LINC00471",4.45592934617859e-194,0.0151548327083667
"HAS3",9.86842781522251e-85,0.000160852910406897
"FGF4",3.74837060114594e-113,0.305575977723205
"SLC30A8",4.96237417132661e-155,0.300656697666704
"LOC439933",1.122400529186e-288,0.999999999999475
"C11orf65",2.77707781658504e-126,0.0356175253326449
"FAM71E2",1.122400529186e-288,0.999999999999475
"OR5P2",1.122400529186e-288,0.999999999999475
"DYDC1",9.23497224950005e-124,0.138192238422328
"IL27",1.48393367116895e-197,0.403547823755628
"IQCF1",1.122400529186e-288,0.999999999999475
"DEFB125",1.122400529186e-288,0.999999999999475
"WFDC10B",5.26122856383312e-81,0.00335298647740697
"DEFB105A",7.97517006480082e-149,0.133511706402486
"PKHD1",1.122400529186e-288,0.999999999999475
"PKD1L1",7.40186889395012e-285,0.694614339928177
"ADGRG4",7.87071256126547e-283,0.521096985511686
"TENM1",1.55609365176004e-237,0.475193305061789
"REXO1L1P",1.122400529186e-288,0.999999999999475
"TAF1L",2.25055472394937e-88,0.923747159520689
"CNTNAP5",1.122400529186e-288,0.999999999999475
"RECQL4",1.75875697342914e-90,6.04784621364749e-09
"ADGRF3",9.00416800196066e-187,0.654717271525625
"TMC2",9.03500549271874e-175,0.289794153571563
"SMCR5",5.380028097275e-204,0.425375761460426
"BICD2",1.07766336797612e-53,0.0984260347038086
"ZIM3",1.122400529186e-288,0.999999999999475
"NOX5",2.59392958270027e-208,0.288664437540731
"DAOA-AS1",1.122400529186e-288,0.999999999999475
"ADGRG6",7.37528677266598e-200,0.689424242635353
"KLHL4",2.33885194363389e-46,0.00220811145219691
"GPR156",1.122400529186e-288,0.999999999999475
"SUOX",1.12622664829538e-89,0.0790405782435929
"ADGRF4",4.96092419638972e-65,0.0659175237631449
"IL31RA",4.2927350710655e-275,0.501150538221936
"SYTL5",2.08916723374041e-116,0.698432178527298
"SDCCAG8",1.59050563284215e-91,0.211671316271091
"ADGRF2",1.122400529186e-288,0.999999999999475
"SYN2",2.44527978410224e-134,0.142386860083359
"ASB10",1.122400529186e-288,0.999999999999475
"HTR3C",2.20004954327785e-69,0.0119253678260371
"NFKBID",4.90837076049461e-72,0.0314624481192642
"CD300LF",2.09065636068654e-80,1.05044673068438e-07
"GJA10",1.122400529186e-288,0.999999999999475
"WNT9A",9.39527960097015e-121,0.568708323215267
"GAL3ST2",3.27506396040884e-102,0.886775614059721
"PIP4K2B",2.28504990381117e-113,0.0753709259547252
"ODF3",2.71943321090637e-247,0.419124509522215
"WFDC13",5.75735904816925e-288,0.861093456389053
"CCDC197",2.77266838809269e-186,0.43955731110105
"SLFN5",2.93555210169695e-42,0.377412691593547
"SERPINB12",3.34876208818016e-237,0.192702476420443
"GIPC3",2.58934835974476e-137,0.726011661646781
"PGLYRP3",1.122400529186e-288,0.999999999999475
"PSKH2",1.95938629574378e-129,0.13497300603172
"OR6W1P",2.82772013669237e-207,0.152446531235
"MOGAT1",1.76418828305926e-198,0.689675451574819
"GPR78",1.63121625153243e-141,0.653225688861524
"H1-8",3.4183506302827e-181,0.283956997155283
"TAAR9",1.122400529186e-288,0.999999999999475
"GNRHR2",6.26971006308651e-218,0.246198260289076
"MYOZ3",1.122400529186e-288,0.999999999999475
"BNIPL",2.86078237816539e-82,0.27799321405557
"ASB11",1.7730700862311e-205,0.39662693833289
"OFCC1",1.16464649761035e-288,0.9786062801435
"SDR9C7",1.116950883046e-285,0.91629978608016
