"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","diffexpressed","delabel"
"RAB8A","RAB8A",-0.32779374413139,9.77520864695001,-5.55059486718173,9.95797855666322e-07,4.52865342653983e-06,4.99533457480914,"NO",NA
"LEO1","LEO1",-0.470406444221378,6.83452907868601,-5.55008980840893,9.97599489383348e-07,4.53586205863099e-06,4.99355935326466,"NO",NA
"EPB42","EPB42",0.342141144719423,4.25042221723738,5.54929136905162,1.00045424896602e-06,4.54713615727024e-06,4.99075301511119,"NO",NA
"SEMA4A","SEMA4A",0.563404723437163,7.78233242950988,5.54927489767779,1.00051322618315e-06,4.54713615727024e-06,4.99069512291532,"NO",NA
"ANP32E","ANP32E",-0.744126033402881,7.06636352979092,-5.54916346672691,1.00091230502079e-06,4.54796313519968e-06,4.99030347591862,"DOWN","ANP32E"
"IFRD2","IFRD2",0.374166394966154,8.06118930332936,5.5490478251694,1.00132663036662e-06,4.54885901676201e-06,4.98989703193077,"NO",NA
"CCDC148","CCDC148",0.771329164427169,6.24574183213249,5.54860738837367,1.00290620096256e-06,4.5550468758809e-06,4.98834905317621,"UP","CCDC148"
"LPCAT4","LPCAT4",-0.358663228419962,5.20364751475078,-5.54848233666459,1.00335513249287e-06,4.55609797535839e-06,4.98790954640439,"NO",NA
"IQCB1","IQCB1",-0.478301976155766,6.82975858043564,-5.54839856060595,1.00365599707437e-06,4.55616832385263e-06,4.98761510841295,"NO",NA
"TCEAL3","TCEAL3",0.548924575179797,8.89116294609559,5.54835690065742,1.00380564350885e-06,4.55616832385263e-06,4.98746869143488,"NO",NA
"VEGFA","VEGFA",-1.37632853699685,11.5117664265512,-5.54798074515689,1.00515782984224e-06,4.56069380523324e-06,4.98614667732749,"DOWN","VEGFA"
"SARS1","SARS1",-0.380396592886961,9.803244138814,-5.54795842024785,1.00523813905389e-06,4.56069380523324e-06,4.98606821620451,"NO",NA
"SAP130","SAP130",-0.355344202354845,7.47111002710492,-5.54733250821291,1.00749231478532e-06,4.56993103460549e-06,4.98386847364537,"NO",NA
"TBC1D10A","TBC1D10A",0.466075470157982,4.14934853666419,5.54714321172736,1.00817503710597e-06,4.57203777922902e-06,4.98320321086961,"NO",NA
"SIVA1","SIVA1",-0.550644278356025,8.02146403083291,-5.5466885579541,1.00981667659221e-06,4.57849132566603e-06,4.98160540047065,"NO",NA
"BGLT3","BGLT3",0.324900925107716,5.44410984633148,5.54630757284961,1.01119435493497e-06,4.58374554270132e-06,4.98026651214648,"NO",NA
"CD63","CD63",-0.337135428699277,12.3815233593551,-5.54567411455138,1.0134891204745e-06,4.5931537443919e-06,4.9780404126677,"NO",NA
"RHBDL2","RHBDL2",-0.323526946302008,3.56322885855052,-5.54550914662497,1.01408757881907e-06,4.59487183939501e-06,4.97746069261594,"NO",NA
"SLC7A6OS","SLC7A6OS",-0.453693402793732,6.40797130695858,-5.544923889298,1.01621355530746e-06,4.60350894096568e-06,4.97540405204575,"NO",NA
"CD86","CD86",-0.743778107008775,5.52557596925904,-5.54444877730822,1.0179426677708e-06,4.61034487822592e-06,4.97373451041136,"DOWN","CD86"
"CWC22","CWC22",-0.462817958525029,7.45387481859613,-5.54381639622611,1.02024866120798e-06,4.6197900359541e-06,4.97151238075595,"NO",NA
"TNFRSF9","TNFRSF9",-1.33182762592152,5.10559166127861,-5.54249991412596,1.02506584825833e-06,4.64059959443858e-06,4.96688658369277,"DOWN","TNFRSF9"
"PMS2P2","PMS2P2",-0.359713424672451,8.11869562962353,-5.54103186457612,1.03046419891831e-06,4.66403059091225e-06,4.96172853676824,"NO",NA
"PSMD5","PSMD5",-0.446118300660931,7.68194582233374,-5.5390862228868,1.03766215297905e-06,4.69559497050167e-06,4.95489297457497,"NO",NA
"GRB2","GRB2",-0.423525764594571,8.18712901504742,-5.53745930854856,1.04371915984205e-06,4.72198385339338e-06,4.94917764514915,"NO",NA
"POLR3D","POLR3D",-0.378796924723859,6.56317560112066,-5.53716882897437,1.04480429255929e-06,4.72587249324972e-06,4.94815723801792,"NO",NA
"RAB15","RAB15",0.767218180516232,6.39331871357799,5.53672731443726,1.04645577959434e-06,4.73232064230626e-06,4.94660629532406,"UP","RAB15"
"CUL9","CUL9",0.422514157067823,7.13886341268473,5.53470779547253,1.0540428016298e-06,4.7656021078652e-06,4.93951256542305,"NO",NA
"FGF7P3","FGF7P3",0.853620792108365,5.15085599151846,5.5345061542656,1.05480331986705e-06,4.76801146768559e-06,4.93880431915488,"UP","FGF7P3"
"DCDC2B","DCDC2B",0.388554100456274,6.88215135681496,5.53406180686646,1.05648115661983e-06,4.77456543424286e-06,4.9372436123231,"NO",NA
"CLECL1","CLECL1",0.295931483487881,4.00872977837347,5.53089023228363,1.06853385347712e-06,4.82799366453522e-06,4.9261048171994,"NO",NA
"CTNS","CTNS",0.460749754625606,7.73472564127673,5.52985326676738,1.07250400402767e-06,4.84486423031675e-06,4.92246326665883,"NO",NA
"DESI1","DESI1",-0.479083661427275,7.19734632995231,-5.52979103798365,1.07274271847384e-06,4.84486423031675e-06,4.92224474094346,"NO",NA
"TXLNG","TXLNG",-0.526517063872081,6.95395146028518,-5.52973400964641,1.07296152978658e-06,4.84486423031675e-06,4.92204447791654,"NO",NA
"SFT2D3","SFT2D3",-0.519661158808171,7.81935840834408,-5.52963392778152,1.07334563944188e-06,4.84555411840281e-06,4.9216930276206,"NO",NA
"GPX2","GPX2",1.00645040207948,6.05462037801933,5.52825850834914,1.07863824600768e-06,4.86839804764554e-06,4.91686322720386,"UP","GPX2"
"LAMTOR2","LAMTOR2",-0.455058475723363,8.86342738343993,-5.52733912547635,1.08219042252456e-06,4.8833784533869e-06,4.91363497186586,"NO",NA
"KLF4","KLF4",-0.916880407639907,5.94079596503841,-5.52715373992655,1.08290808952784e-06,4.88556445215154e-06,4.91298403858081,"DOWN","KLF4"
"SLCO3A1","SLCO3A1",-0.434907493796557,6.10612174607719,-5.5269096124834,1.08385387760677e-06,4.88877846128962e-06,4.91212685671318,"NO",NA
"HAO1","HAO1",0.822334739466688,3.94006837403047,5.52580754163229,1.08813365999626e-06,4.90702600127914e-06,4.90825737646506,"UP","HAO1"
